date,avg_pnl,total_pnl,avg_size,total_volume,active_accounts,value,classification
2024-08-08,-4.5235796666666666,-40.712216999999995,1811.038888888889,16299.35,2,20,Extreme Fear
2024-08-09,0.0,0.0,0.11,0.11,1,48,Neutral
2024-08-10,149.90407327777777,5396.546638,12071.781388888889,434584.13,2,40,Fear
2024-08-11,-1.6516292564102582,-64.41354100000007,6941.036923076923,270700.44,2,39,Fear
2024-08-12,38.014127228571425,15965.933436,2221.2850476190474,932939.72,6,25,Fear
2024-09-01,-11.804998042857143,-826.349863,12429.313857142857,870051.97,1,26,Fear
2024-09-03,85.03847541880343,9949.501624,5625.459401709401,658178.75,1,26,Fear
2024-09-04,0.0,0.0,19021.280000000002,57063.840000000004,1,27,Fear
2024-09-05,40.985566285714285,1147.595856,7927.361428571428,221966.12,2,29,Fear
2024-09-06,0.0,0.0,1318.2482352941176,22410.22,2,22,Extreme Fear
2024-09-07,43.265627466666665,648.984412,182.42999999999998,2736.45,1,23,Extreme Fear
2024-09-08,125.56993941666666,18082.071276,3494.4781944444444,503204.86,5,29,Fear
2024-09-09,0.0,0.0,2007.2150000000001,4014.4300000000003,1,26,Fear
2024-09-10,28.290194285714286,396.06272,15742.852142857142,220399.93,1,33,Fear
2024-09-11,1.196615581395349,102.90894,2248.655930232558,193384.41,2,37,Fear
2024-09-12,11.708659881261596,6310.967676,1825.5096103896105,983949.68,10,31,Fear
2024-10-01,-7.860576901554404,-1517.091342,10660.515440414507,2057479.48,1,50,Neutral
2024-10-03,59.117314285714286,2482.9272,5237.472619047619,219973.85,1,37,Fear
2024-10-04,127.01081497560976,5207.443414,8578.926097560974,351735.97,1,41,Fear
2024-10-05,95.53371340909092,2101.741695,7131.0,156882.0,1,49,Neutral
2024-10-06,0.589939716981132,31.266804999999998,879.0175471698113,46587.93,2,50,Neutral
2024-10-07,213.88812333928573,11977.734907,12283.93232142857,687900.21,2,50,Neutral
2024-10-08,0.0,0.0,128.8555681818182,11339.29,2,49,Neutral
2024-10-09,-73.24321966666666,-219.729659,849.0933333333334,2547.28,2,49,Neutral
2024-10-10,0.0,0.0,18751.521249999998,300024.33999999997,1,39,Fear
2024-10-11,5.728984589595376,991.114334,2390.963583815029,413636.7,3,32,Fear
2024-10-12,24.640206911654136,39325.770231,1973.94992481203,3150424.08,11,49,Neutral
2024-11-01,-7.813785761904761,-164.08950099999998,14538.766666666666,305314.1,2,75,Extreme Greed
2024-11-02,28.924799294117648,983.443176,6244.465294117647,212311.82,1,72,Greed
2024-11-03,85.43284511904761,3588.179495,4202.844047619047,176519.44999999998,1,74,Greed
2024-11-04,24.35894775,389.743164,4775.06,76400.96,1,70,Greed
2024-11-05,27.956082444444444,251.604742,7027.661111111111,63248.95,1,70,Greed
2024-11-06,35.12708789430894,4320.631811,3034.7960975609753,373279.92,3,70,Greed
2024-11-07,98.77958326315789,1876.812082,8941.422105263156,169887.02,1,77,Extreme Greed
2024-11-08,35.32402583333334,847.7766200000001,1842.9254166666667,44230.21,2,75,Extreme Greed
2024-11-09,0.0,0.0,0.54,0.54,1,75,Extreme Greed
2024-11-10,341.74336450000004,8885.327477,18804.007307692307,488904.19,2,78,Extreme Greed
2024-11-11,18.09552545844504,6749.630996,4210.649919571046,1570572.42,4,76,Extreme Greed
2024-11-12,261.30348420720725,319051.554217,1796.9683292383293,2194098.33,12,80,Extreme Greed
2024-12-01,-275.0741462857143,-1925.519024,28583.181428571428,200082.27,1,81,Extreme Greed
